,pIC50
339,8.056011124926227
340,7.552841968657781
341,4.327902142064283
342,7.638272163982407
343,6.161150909262744
344,8.14898639317633
345,5.0
346,7.585026652029182
347,8.143029566517507
348,7.585026652029182
349,7.853871964321762
350,5.886056647693163
351,6.9209997476961505
352,7.508638306165727
353,5.588000032061663
354,6.585026652029182
355,5.6020599913279625
356,8.108016769148033
357,6.119186407719209
358,7.010016541698601
359,8.0
360,6.995979726746758
361,8.552997101533837
362,8.237021509132257
363,7.698970004336019
364,6.632644078973981
365,6.818156412055227
366,4.455931955649724
367,4.3979400086720375
368,5.200659450546418
369,6.337242168318426
370,7.468521082957745
371,5.7447274948966935
372,6.013228265733755
373,6.958607314841775
374,8.096910013008056
375,5.769551078621726
376,7.931814138253839
377,7.906578314837765
378,7.562249437179612
379,9.522878745280337
380,8.267606240177031
381,8.853871964321762
382,7.083019952679618
383,7.533132379645891
384,8.167491087293763
385,7.675717544702307
386,7.607303046740334
387,9.494850021680094
388,7.262807357295262
389,7.581698708680254
390,7.099086932262331
391,6.6777807052660805
392,7.661543506395395
393,6.411728293157671
394,7.250031916490597
395,7.709965388637482
396,8.090016305060155
397,6.610302451793614
398,5.2399999527072705
399,4.949891037082132
400,5.545536267248862
401,7.739928612014925
402,7.910094888560602
403,7.140021558357979
404,6.170001911302621
405,7.9299621333922445
406,6.0999990348465305
407,7.430041181903406
408,7.7599502278873524
409,7.779891911959945
410,7.470056598341331
411,6.10768273927752
412,5.3400001801593495
413,7.730020323354676
414,6.69000807121882
415,7.309981219211305
416,5.658862361259036
417,6.950007143079858
418,7.110026361596004
419,7.92009553233328
420,5.247605791594637
421,5.180000294489514
422,7.886056647693163
423,4.455931955649724
424,9.318758762624412
425,5.369999510099088
426,5.740000204918113
427,5.0915149811213505
428,5.2839966563652006
429,4.539999925177879
430,5.522878745280337
431,5.229999745811777
432,7.346787486224656
433,4.790000026071145
434,9.481486060122112
435,7.0
436,6.886056647693163
437,6.5376020021010435
438,7.6399749108106025
439,4.031517051446065
440,4.399999967876858
441,3.9956786262173574
442,6.359995853468939
443,6.4089353929735005
444,7.585026652029182
445,4.096910013008056
446,8.55284196865778
447,5.431798275933005
448,9.022276394711152
449,5.3400001801593495
450,6.455931955649724
451,5.010000098195094
452,9.244125144327509
453,5.410000161858408
454,4.169999984192581
455,9.0
456,8.096910013008056
457,8.443697499232712
458,7.060480747381382
459,4.236572006437063
460,5.42021640338319
461,5.190000154058473
463,7.552841968657781
464,5.710001024518514
465,5.102372908709558
466,5.779999190713337
467,6.337242168318426
468,7.180456064458132
469,4.154901959985743
470,5.269999835325842
471,6.769551078621726
472,5.920001601921648
473,6.327902142064283
474,5.795880017344075
475,4.00436480540245
476,6.1249387366083
477,5.318758762624412
478,4.0
479,4.0
480,4.0
481,4.0
482,4.0
483,6.119186407719209
484,4.924453038607469
485,4.204119982655925
486,5.0
487,3.8416375079047502
488,6.096910013008056
489,4.568636235841013
490,3.7569619513137056
491,5.070581074285707
